Title,Price,Date
Apple iPhone 14 Pro Max (128 GB) - Space Black,"4,220.00",2023-03-14
Apple iPhone 14 Pro Max (128 GB) - Space Black,"4,220.00",2023-03-14
Apple iPhone 14 Pro Max (128 GB) - Space Black,"4,220.00",2023-03-14
Apple iPhone 14 Pro Max (128 GB) - Space Black,"4,220.00",2023-03-14
